,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31
symbol,GOOG,GOOG,GOOG,GOOG,GOOG
fillingDate,2020-02-04,2019-02-05,2018-02-06,2017-02-03,2016-02-11
acceptedDate,2020-02-03 21:03:59,2019-02-04 21:06:38,2018-02-05 20:46:29,2017-02-02 18:13:47,2016-02-11 16:38:35
period,FY,FY,FY,FY,FY
revenue,161857000000,136819000000,110855000000,90272000000,74989000000
costOfRevenue,71896000000,59549000000,45583000000,35138000000,28164000000
grossProfit,89961000000,77270000000,65272000000,55134000000,46825000000
grossProfitRatio,0.555805433191,0.564760742295,0.588805195977,0.61075416519,0.624424915654
researchAndDevelopmentExpenses,26018000000,21419000000,16625000000,13948000000,12282000000
generalAndAdministrativeExpenses,9551000000,8126000000,6872000000,6985000000,6136000000
sellingAndMarketingExpenses,18464000000,16333000000,12893000000,10485000000,9047000000
otherExpenses,5394000000,8592000000,1047000000,434000000,291000000
operatingExpenses,54033000000,45878000000,36390000000,31418000000,27465000000
costAndExpenses,127626000000,110498000000,84709000000,66556000000,55629000000
interestExpense,100000000,114000000,109000000,124000000,104000000
depreciationAndAmortization,11781000000,9035000000,6915000000,6144000000,5063000000
ebitda,46012000000,35356000000,33061000000,29860000000,24423000000
ebitdaratio,0.284275626016,0.258414401509,0.298236434983,0.330778092875,0.325687767539
operatingIncome,34231000000,26321000000,26146000000,23716000000,19360000000
operatingIncomeRatio,0.211489154006,0.192378251559,0.235857651888,0.262717121588,0.258171198442
totalOtherIncomeExpensesNet,5394000000,8592000000,1047000000,434000000,291000000
incomeBeforeTax,39625000000,34913000000,27193000000,24150000000,19651000000
incomeBeforeTaxRatio,0.244814867445,0.255176547117,0.245302422083,0.267524813896,0.262051767593
incomeTaxExpense,5282000000,4177000000,14531000000,4672000000,3303000000
netIncome,34343000000,30736000000,12662000000,19478000000,16348000000
netIncomeRatio,0.212181122843,0.224647161578,0.114221280051,0.21577011698,0.218005307445
eps,49.59,44.22,18.27,28.32,24.63
epsdiluted,49.16,43.7,18.0,27.85,24.34
weightedAverageShsOut,346667000,349728000,348151000,344702000,343241000
weightedAverageShsOutDil,352214000,357184000,357642000,353575000,349150000
link,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/0001652044-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/0001652044-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000007/0001652044-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204417000008/0001652044-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204416000012/0001652044-16-000012-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/1652044/000165204420000008/goog10-k2019.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204419000004/goog10-kq42018.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204418000007/goog10-kq42017.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204417000008/goog10-kq42016.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204416000012/goog10-k2015.htm
